name,phone_number,email
Charlene,555-999-6666,charlene@funmail.com
Debbie,555-999-5555,debbie@funmail.com
Anne,555-999-8888,anne@funmail.com
Ellen,555-999-4444,ellen@funmail.com
Betty,555-999-7777,betty@funmail.com
Judy,555-333-2222,judy@funmail.com
Val,222-555-9999,val@funmail.com
Jennifer,222-555-5555,jennifer@funmail.com
Carol,777-999-3333,carol@funmail.com
Stephanie,444-555-4444,stephanie@funmail.com
Carla,222-333-4444,carla@funmail.com
Sylvia,222-333-2222,sylvia@funmail.com
Pat,333-222-4444,pat@funmail.com
Doris,333-222-0000,doris@funmailcom
Kim,333-111-2222,kim@funmail.com
Shawn,333-444-9999,shawn@funmail.com
Shelly,555-888-4444,shelly@funmail.com
Terry,777-888-9999,terry@funmail.com
Ella,999-999-9999,ella@funmail.com

